ID, World, Time (Seconds), Distance (Meters)
0,granny,378.7033836841583,86.20871355255721
1,granny,351.6945309638977,78.29870320182901
2,granny,375.5110664367676,81.04081939784503
3,granny,329.80997586250305,73.04247096243367
4,granny,357.6523263454437,78.9059630843891
5,granny,359.76960277557373,79.7834217450882
6,granny,358.31094121932983,75.9949307408251
7,granny,341.66565322875977,71.82359284028931
8,granny,343.35498046875,70.96323438332675
9,granny,385.71856665611267,79.2991030917112
10,granny,377.6276400089264,76.38605015127767
11,granny,366.83269023895264,72.39529206736091
12,granny,379.9491808414459,72.68591522591423
13,granny,349.70931363105774,66.73351623475068
14,granny,387.6235420703888,73.75493351657809
15,granny,365.27313685417175,65.41726892726773
16,granny,397.53739976882935,70.13817404926797
17,granny,430.53657054901123,78.63111337790626
18,granny,399.90556263923645,66.7436661989474
19,granny,419.95842933654785,72.96135682042278
20,granny,346.2506868839264,77.71947072140128
21,granny,344.6598811149597,76.94767080745143
22,granny,337.53305530548096,74.00684426317878
23,granny,356.4333293437958,74.99477668790944
24,granny,403.515451669693,90.5049667890298
25,granny,313.2820014953613,69.03421732003076
26,granny,351.4349229335785,79.98890969769542
27,granny,321.4313509464264,70.50100873829443
28,granny,370.00084471702576,82.18157734757386
29,granny,386.5521824359894,87.05466478978141
