ID, World, Points, Time (Seconds), Distance (Meters)
0,granny,120,2101.812910795212,468.83659385955343
1,granny,120,2116.311875104904,438.33381641483794
2,granny,120,2114.7059218883514,462.45799945183103
3,granny,120,2173.8425381183624,457.0485034079744
4,granny,120,2091.152876853943,366.32669011732094
5,granny,120,2132.8937604427338,470.3602558853706
6,granny,120,2188.7558047771454,451.5912340962991
7,granny,120,2193.627075433731,488.85067289789225
8,granny,120,2293.37020277977,484.14119224931494
9,granny,120,2311.2808408737183,423.9689638323373
10,granny,20,378.7033836841583,86.20871355255721
11,granny,20,351.6945309638977,78.29870320182901
12,granny,20,375.5110664367676,81.04081939784503
13,granny,20,329.80997586250305,73.04247096243367
14,granny,20,357.6523263454437,78.9059630843891
15,granny,20,359.76960277557373,79.7834217450882
16,granny,20,358.31094121932983,75.9949307408251
17,granny,20,341.66565322875977,71.82359284028931
18,granny,20,343.35498046875,70.96323438332675
19,granny,20,385.71856665611267,79.2991030917112
20,granny,20,377.6276400089264,76.38605015127767
21,granny,20,366.83269023895264,72.39529206736091
22,granny,20,379.9491808414459,72.68591522591423
23,granny,20,349.70931363105774,66.73351623475068
24,granny,20,387.6235420703888,73.75493351657809
25,granny,20,365.27313685417175,65.41726892726773
26,granny,20,397.53739976882935,70.13817404926797
27,granny,20,430.53657054901123,78.63111337790626
28,granny,20,399.90556263923645,66.7436661989474
29,granny,20,419.95842933654785,72.96135682042278
30,granny,20,346.2506868839264,77.71947072140128
31,granny,20,344.6598811149597,76.94767080745143
32,granny,20,337.53305530548096,74.00684426317878
33,granny,20,356.4333293437958,74.99477668790944
34,granny,20,403.515451669693,90.5049667890298
35,granny,20,313.2820014953613,69.03421732003076
36,granny,20,351.4349229335785,79.98890969769542
37,granny,20,321.4313509464264,70.50100873829443
38,granny,20,370.00084471702576,82.18157734757386
39,granny,20,386.5521824359894,87.05466478978141
40,granny,6,109.82960271835327,24.53898927743254
41,granny,6,117.64025163650513,25.673716383352456
42,granny,6,93.91772675514221,19.876228532497947
43,granny,6,115.75537419319153,26.11309948253376
44,granny,6,107.55564022064209,24.170959465397733
45,granny,6,117.1276752948761,26.23685139009383
46,granny,6,95.35622882843018,21.23893419353108
47,granny,6,91.92686057090759,20.589467481811372
48,granny,6,104.10999536514282,23.53579421320869
49,granny,6,108.54740643501282,23.876643729961867
50,granny,6,102.62664103507996,21.39650908369609
51,granny,6,112.4634599685669,24.48949903757231
52,granny,6,117.34175944328308,25.78508592534486
53,granny,6,114.39991903305054,24.291349827864348
54,granny,6,104.49871277809143,22.74591936249412
55,granny,6,110.5556640625,24.49357285807023
56,granny,6,130.03342652320862,29.79393289467384
57,granny,6,92.60336685180664,20.448188776476602
58,granny,6,108.09271478652954,23.106901714466115
59,granny,6,113.98470330238342,26.18810188261733
60,granny,6,108.89487910270691,23.960570564452354
61,granny,6,106.62507581710815,23.660071813691037
62,granny,6,98.8722791671753,22.05757068827171
63,granny,6,90.67392492294312,18.977836761481395
64,granny,6,90.79841303825378,20.102118999265734
65,granny,6,127.49849772453308,28.906772768310635
66,granny,6,94.22658276557922,20.50028985366765
67,granny,6,109.21893000602722,23.47892860557161
68,granny,6,82.24061703681946,17.241829869130566
69,granny,6,109.76489114761353,24.290712109666384
70,granny,6,136.39681029319763,31.47255279300552
71,granny,6,98.83464050292969,21.54537186825418
72,granny,6,82.94527983665466,17.768724449759688
73,granny,6,97.56430006027222,20.90591194992104
74,granny,6,106.64019513130188,23.197883728375622
75,granny,6,117.91354417800903,25.318219718975868
76,granny,6,92.15881967544556,19.978158249604267
77,granny,6,94.0603711605072,20.293384533307236
78,granny,6,95.14653182029724,19.639946226917683
79,granny,6,117.35061931610107,25.54256672887301
80,granny,6,100.29222345352173,21.499453580528353
81,granny,6,88.17210698127747,19.225077084996926
82,granny,6,131.15042352676392,30.234658032308356
83,granny,6,93.35422492027283,20.41733065057862
84,granny,6,115.1065104007721,26.57663912950985
85,granny,6,93.7387330532074,20.188530406052962
86,granny,6,91.96958208084106,20.340368863649456
87,granny,6,81.22694993019104,17.417542617976004
88,granny,6,90.967458486557,20.033728424689496
89,granny,6,95.53891110420227,20.587867041393206
90,granny,6,89.81394672393799,18.67575942757125
91,granny,6,81.45891118049622,16.921836904498292
92,granny,6,107.31723260879517,23.22134131937028
93,granny,6,109.47722840309143,24.567661518245867
94,granny,6,111.15157985687256,24.340736765898583
95,granny,6,81.8399646282196,17.495227918062756
96,granny,6,104.3049385547638,22.768155254781945
97,granny,6,108.1290385723114,23.41957686574882
98,granny,6,118.70855498313904,26.502934624281544
99,granny,6,84.85997009277344,17.60991251043111
