ID, World, Time (Seconds), Distance (Meters)
0,granny,109.82960271835327,24.53898927743254
1,granny,117.64025163650513,25.673716383352456
2,granny,93.91772675514221,19.876228532497947
3,granny,115.75537419319153,26.11309948253376
4,granny,107.55564022064209,24.170959465397733
5,granny,117.1276752948761,26.23685139009383
6,granny,95.35622882843018,21.23893419353108
7,granny,91.92686057090759,20.589467481811372
8,granny,104.10999536514282,23.53579421320869
9,granny,108.54740643501282,23.876643729961867
10,granny,102.62664103507996,21.39650908369609
11,granny,112.4634599685669,24.48949903757231
12,granny,117.34175944328308,25.78508592534486
13,granny,114.39991903305054,24.291349827864348
14,granny,104.49871277809143,22.74591936249412
15,granny,110.5556640625,24.49357285807023
16,granny,130.03342652320862,29.79393289467384
17,granny,92.60336685180664,20.448188776476602
18,granny,108.09271478652954,23.106901714466115
19,granny,113.98470330238342,26.18810188261733
20,granny,108.89487910270691,23.960570564452354
21,granny,106.62507581710815,23.660071813691037
22,granny,98.8722791671753,22.05757068827171
23,granny,90.67392492294312,18.977836761481395
24,granny,90.79841303825378,20.102118999265734
25,granny,127.49849772453308,28.906772768310635
26,granny,94.22658276557922,20.50028985366765
27,granny,109.21893000602722,23.47892860557161
28,granny,82.24061703681946,17.241829869130566
29,granny,109.76489114761353,24.290712109666384
30,granny,136.39681029319763,31.47255279300552
31,granny,98.83464050292969,21.54537186825418
32,granny,82.94527983665466,17.768724449759688
33,granny,97.56430006027222,20.90591194992104
34,granny,106.64019513130188,23.197883728375622
35,granny,117.91354417800903,25.318219718975868
36,granny,92.15881967544556,19.978158249604267
37,granny,94.0603711605072,20.293384533307236
38,granny,95.14653182029724,19.639946226917683
39,granny,117.35061931610107,25.54256672887301
40,granny,100.29222345352173,21.499453580528353
41,granny,88.17210698127747,19.225077084996926
42,granny,131.15042352676392,30.234658032308356
43,granny,93.35422492027283,20.41733065057862
44,granny,115.1065104007721,26.57663912950985
45,granny,93.7387330532074,20.188530406052962
46,granny,91.96958208084106,20.340368863649456
47,granny,81.22694993019104,17.417542617976004
48,granny,90.967458486557,20.033728424689496
49,granny,95.53891110420227,20.587867041393206
50,granny,89.81394672393799,18.67575942757125
51,granny,81.45891118049622,16.921836904498292
52,granny,107.31723260879517,23.22134131937028
53,granny,109.47722840309143,24.567661518245867
54,granny,111.15157985687256,24.340736765898583
55,granny,81.8399646282196,17.495227918062756
56,granny,104.3049385547638,22.768155254781945
57,granny,108.1290385723114,23.41957686574882
58,granny,118.70855498313904,26.502934624281544
59,granny,84.85997009277344,17.60991251043111
